video_id,title,channel_id,channel_title,category,published_at,view_count,like_count,comment_count,region
AkqDFXqQi8k,It's Time to Settle the Score - The Revenge Room,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,Gaming,2025-10-02T09:00:14Z,1155334,23286,1108,US
MvDZ7-vOERc,Fuk Em,UCOUlVCyTJqvT9AHeUlbK03w,Kevin Gates - Topic,Music,2025-09-30T10:02:05Z,274473,16671,95,US
ZL4jOPorLQM,Pokémon Legends: Z-A – Nintendo Switch 2 Edition — Overview Trailer,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,Gaming,2025-10-02T13:01:10Z,378592,19242,3940,US
3cJ2nnqIOl0,I Got My OWN BRAINROT..,UCsPMNatXCwqyUuJilBT73jg,CaylusBlox,Gaming,2025-10-02T13:32:21Z,1276110,40311,4327,US
vtETYPwXYFg,"Screwly G - ""Reaper"" (Official Video)",UCORaORpqSNIakHaVBuTXwyw,Screwly G,Music,2025-10-02T01:01:07Z,86896,9817,500,US
C1as_hRbBZg,Landman Season 2 Official Trailer | Paramount+,UCdnOvN4AQc_qM96XwmcbPEA,Landman Official,People & Blogs,2025-10-01T17:00:10Z,1773615,3916,257,US
BwbUK4k0N4M,Is Xbox Dead,UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,Entertainment,2025-10-01T23:30:03Z,1491602,78766,12700,US
S3edLt0E3Sk,Trippie Redd - Sketchy (Official Music Video),UCstw-41J8syXgdJ8xWvaizA,Trippie Redd,Music,2025-10-02T01:00:42Z,152437,20103,2626,US
HJzSlErp1vw,Maxton Hall Season 2 - Official Trailer | Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,Prime Video,Entertainment,2025-10-02T13:00:35Z,123124,6797,300,US
9xHSPXcnfDU,It's over for woke games.,UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,Gaming,2025-10-02T03:35:00Z,619195,31131,5890,US
SE4KayrsaPg,Young Miko - Meiomi (Official),UCXF4IGVcTnm6v9tBPGYNsQg,YoungMikoVEVO,Music,2025-10-02T00:00:06Z,286241,39996,2949,US
D3Se71O96i0,Patriot Malayalam Teaser | Mammootty | Mohanlal | Mahesh Narayanan | Anto Joseph,UCAAufdrkoIXtfHQI9QE1tzA,Anto Joseph Film Company,Entertainment,2025-10-02T06:30:07Z,2258249,112047,6286,US
5ipctlvNePk,KPop Demon Hunters Takes Over Fortnite,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,Gaming,2025-10-01T16:00:17Z,945329,38294,2894,US
usQvctB7Mi0,"Meesaala Pilla Promo | Mana Shankara Varaprasad Garu | Chiranjeevi,Nayanthara | Bheems|Anil Ravipudi",UCnJjcn5FrgrOEp5_N45ZLEQ,T-Series Telugu,Music,2025-10-02T12:34:10Z,3255070,56790,1851,US
j8HmLnipbkA,DRAGON BALL: Sparking! ZERO - Over 200 Characters Trailer,UC_ntXHv-XdKCD7CPynVvnQw,Bandai Namco Entertainment America,Gaming,2025-10-02T14:00:51Z,76783,7015,1736,US
iV8lE08wGoE,Daredevil: The Man Without Fear | Character Reveal | Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,Marvel Rivals,Gaming,2025-10-01T15:01:23Z,1401909,59070,2958,US
yUFpHTHIiEw,Skrilla - Kurt Angle (Official Video),UCMFP3cGDPvKhdaqhmdXmzQg,Skrilla,Music,2025-10-01T16:00:07Z,127493,11652,600,US
NH72rscmr1w,Grand Theft Auto VI - Final Trailer (2026) Rockstar Games,UCa2MXjBtWn91WPHWRBCLI6Q,Teaser Universe,Film & Animation,2025-09-30T14:30:29Z,110634,1503,697,US
Ik4Cgquw-D8,Trick or Treat Boxes?!,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,Gaming,2025-10-02T08:20:46Z,1442657,58410,2007,US
eOOtQmzPSY8,Oliver Anthony Music - Only God Can Save Us Now,UC5caRbGN5SukgJnj2ecK_wA,Oliver Anthony Music,Music,2025-10-01T21:00:30Z,180111,27901,1852,US
43pdTk_1voA,Call of Duty: Black Ops 7 | Beta Trailer,UC9YydG57epLqxA9cTzZXSeQ,Call of Duty,Gaming,2025-10-01T15:42:00Z,99420,4138,763,US
xKjwlzLfbzg,Do NOT WAKE The Brainrot..,UCRkuUgtDAL4XSU5jB40J_wA,Foltyn,Gaming,2025-10-01T23:20:43Z,844355,20168,2723,US
zdvHgdSA8g8,"Fuerza Regida, Grupo Frontera - COQUETA (Letra)",UCgQA23m8tvTQS6xRp3IqBdQ,warui.,Music,2025-10-01T21:01:09Z,135123,504,8,US
pwq8gwdVxts,Psycho Killer | Official Trailer,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Studios,Film & Animation,2025-10-01T16:01:36Z,211981,8078,516,US
wxRFzcWnSxM,KEEP DIGGING,UC-gW4TeZAlKm7UATp24JsWQ,SMii7Yplus,Gaming,2025-10-01T19:13:01Z,1129232,52958,1151,US
s5hcQqypYcQ,Jarahn - Kiri (Prod by Dr Wiz - GL Production)(Audio),UC44awJ49tZNNMliYVPQDdmA,Jarahn,Music,2025-09-27T03:56:55Z,30218,1567,140,US
iC9xlgRBOdI,Pillion | Official Teaser HD | A24,UCuPivVjnfNo4mb3Oog_frZg,A24,Film & Animation,2025-10-01T13:01:35Z,239858,8784,513,US
SX4zwRJ1r4s,ROBLOX HAMOOD HABIBI..??,UCzzF1kdBgwv5RB6rbB6kVSA,Tyler & Snowi,Gaming,2025-10-01T21:52:00Z,809816,38864,367,US
UXW4kLAzxOs,Eros Ramazzotti - Otra Como Tú (Letra/Lyrics),UCZCmb5a8LE9LMxW9I3-BFjA,ourmemoriestonight,Music,2025-10-01T12:30:40Z,191872,559,1,US
TSRP0nGuXJM,Sharon & Ozzy Osbourne: Coming Home | Trailer – BBC,UCCj956IF62FbT7Gouszaj9w,BBC,Entertainment,2025-10-01T09:45:03Z,266171,1952,106,US
